"Name","TeamAbbreviation","GamesPlayed","Minutes","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked","Usage"
"LeBron James","CLE",20,845,1593,601,202,434,0.46543778801843316,25,110,0.22727272727272727,0.22727272727272727,122,90,314,39,36,0.22277227722772278,0.23076923076923078,0.52,0.20220588235294118,0.4891999080882353,0.44025735294117646,0.48148148148148145,14,26,0.059907834101382486,0,0,37.56019261637239
"Stephen Curry","GSW",21,826,1656,594,102,207,0.4927536231884058,98,232,0.4224137931034483,0.4217391304347826,96,74,130,162,132,0.3627450980392157,0.36633663366336633,0.5510204081632653,0.5284738041002278,0.49074576659038904,0.5671981776765376,0.6020408163265306,2,18,0.08695652173913043,1,0.004310344827586207,30.344827586206893
"Draymond Green","GSW",21,784,1560,288,76,149,0.5100671140939598,24,91,0.26373626373626374,0.2696629213483146,64,86,66,72,0,0.5657894736842105,0.7166666666666667,1,0.37916666666666665,0.5232481092436975,0.4666666666666667,0.5142857142857142,32,14,0.09395973154362416,1,0.01098901098901099,19.12846632710809
"Klay Thompson","GSW",21,761,1489,391,92,188,0.48936170212765956,57,146,0.3904109589041096,0.3904109589041096,36,114,70,147,24,0.6195652173913043,0.6333333333333333,0.8596491228070176,0.437125748502994,0.49658712574850294,0.531437125748503,0.5539772727272727,4,17,0.09042553191489362,2,0.0136986301369863,23.490735206216378
"Tristan Thompson","CLE",20,727,1360,192,72,129,0.5581395348837209,0,0,0,0,48,90,54,0,0,0.625,0.7627118644067796,0,0,0.5382279069767442,0.5581395348837209,0.5783132530120482,26,8,0.06201550387596899,0,0,11.22894572676232
"Iman Shumpert","CLE",20,695,1303,181,26,71,0.36619718309859156,33,93,0.3548387096774194,0.3626373626373626,30,20,32,93,6,0.38461538461538464,0.38461538461538464,0.9393939393939394,0.5670731707317073,0.5179432098765432,0.4603658536585366,0.49184782608695654,0,9,0.1267605633802817,0,0,12.90956749672346
"Harrison Barnes","GSW",21,681,1342,223,66,138,0.4782608695652174,22,62,0.3548387096774194,0.3548387096774194,25,84,48,66,0,0.6363636363636364,0.7241379310344828,1,0.31,0.51833775,0.495,0.5186046511627908,16,7,0.050724637681159424,0,0,15.530799475753604
"Trevor Ariza","HOU",17,655,1374,224,39,80,0.4875,36,96,0.375,0.375,38,48,30,105,3,0.6153846153846154,0.6666666666666666,0.9722222222222222,0.5454545454545454,0.5544585227272727,0.5284090909090909,0.572538860103627,6,5,0.0625,1,0.010416666666666666,13.881748071979434
"James Harden","HOU",17,636,1363,462,88,187,0.47058823529411764,41,107,0.38317757009345793,0.3867924528301887,163,28,148,45,78,0.1590909090909091,0.1590909090909091,0.36585365853658536,0.36394557823129253,0.48959590443686013,0.5085034013605442,0.6053333333333333,0,19,0.10160427807486631,1,0.009345794392523364,29.33160285528877
"Andre Iguodala","GSW",21,635,1246,218,52,89,0.5842696629213483,29,82,0.35365853658536583,0.35802469135802467,27,76,28,84,3,0.7307692307692307,0.76,0.9655172413793104,0.47953216374269003,0.5602552941176471,0.5584795321637427,0.545,4,3,0.033707865168539325,0,0,15.123674911660776
"Dwight Howard","HOU",17,574,1184,278,105,182,0.5769230769230769,0,0,0,0,68,130,80,0,0,0.6190476190476191,0.7926829268292683,0,0,0.567278021978022,0.5769230769230769,0.5387596899224806,46,16,0.08791208791208792,0,0,21.79675994108984
"Paul Millsap","ATL",16,566,1102,243,70,160,0.4375,15,49,0.30612244897959184,0.30612244897959184,58,90,50,45,0,0.6428571428571429,0.6923076923076923,1,0.23444976076555024,0.5138004784688995,0.44258373205741625,0.5,10,10,0.0625,0,0,22.177742193755005
"JR Smith","CLE",18,560,1060,231,32,64,0.5,51,142,0.3591549295774648,0.3617021276595745,14,24,40,126,27,0.375,0.3870967741935484,0.8235294117647058,0.6893203883495146,0.495109068627451,0.5266990291262136,0.5372093023255814,2,2,0.03125,4,0.028169014084507043,18.578352180936992
"DeMarre Carroll","ATL",16,558,1088,233,57,105,0.5428571428571428,29,72,0.4027777777777778,0.4027777777777778,32,82,32,84,3,0.7192982456140351,0.8541666666666666,0.9655172413793104,0.4067796610169492,0.5360666666666666,0.5677966101694916,0.5974358974358974,18,10,0.09523809523809523,2,0.027777777777777776,16.94915254237288
"Blake Griffin","LAC",14,557,1151,357,139,267,0.5205992509363296,1,7,0.14285714285714285,0.14285714285714285,76,170,108,3,0,0.6115107913669064,0.648854961832061,1,0.025547445255474453,0.48877545787545784,0.5127737226277372,0.5578125,16,23,0.08614232209737828,0,0,28.26086956521739
"JJ Redick","LAC",14,540,1112,208,35,73,0.4794520547945205,35,88,0.3977272727272727,0.3977272727272727,33,60,10,99,6,0.8571428571428571,0.8571428571428571,0.9428571428571428,0.546583850931677,0.4949446875,0.5434782608695652,0.5809248554913294,0,0,0,1,0.011363636363636364,15.98393574297189
"Timofey Mozgov","CLE",20,529,985,212,74,148,0.5,0,0,0,0,64,130,18,0,0,0.8783783783783784,0.9848484848484849,0,0,0.5685195945945946,0.5,0.5668449197860963,16,18,0.12162162162162163,0,0,19.310344827586206
"Jeff Teague","ATL",16,529,1034,269,77,174,0.4425287356321839,21,65,0.3230769230769231,0.3230769230769231,52,26,128,27,36,0.16883116883116883,0.17105263157894737,0.42857142857142855,0.2719665271966527,0.5204125523012553,0.45397489539748953,0.50187265917603,2,10,0.05747126436781609,1,0.015384615384615385,26.4730999146029
"Kyle Korver","ATL",14,526,1033,156,13,23,0.5652173913043478,39,110,0.35454545454545455,0.35454545454545455,13,22,4,111,6,0.8461538461538461,0.8461538461538461,0.9487179487179487,0.8270676691729323,0.5191864661654135,0.5375939849624061,0.5611510791366906,0,0,0,2,0.01818181818181818,13.582342954159593
"Al Horford","ATL",16,522,1018,231,105,202,0.5198019801980198,2,9,0.2222222222222222,0.25,15,166,44,6,0,0.7904761904761904,0.8645833333333334,1,0.04265402843601896,0.4718116666666667,0.5118483412322274,0.525,18,7,0.034653465346534656,0,0,21.37870855148342
"Jimmy Butler","CHI",12,506,935,275,66,141,0.46808510638297873,28,72,0.3888888888888889,0.3888888888888889,59,70,62,69,15,0.5303030303030303,0.5555555555555556,0.8214285714285714,0.3380281690140845,0.5198976525821597,0.5070422535211268,0.5612244897959183,6,15,0.10638297872340426,0,0,24.516129032258064
"Matthew Dellavedova","CLE",20,497,937,143,23,60,0.38333333333333336,24,76,0.3157894736842105,0.32,25,8,38,63,9,0.17391304347826086,0.19047619047619047,0.875,0.5588235294117647,0.4643796296296296,0.4338235294117647,0.4735099337748344,4,7,0.11666666666666667,0,0,17.079889807162534
"Jason Terry","HOU",17,487,1042,156,28,52,0.5384615384615384,29,82,0.35365853658536583,0.35365853658536583,13,26,30,84,3,0.4642857142857143,0.4642857142857143,0.9655172413793104,0.6119402985074627,0.5199414179104478,0.5335820895522388,0.5531914893617021,0,4,0.07692307692307693,0,0,13.713798977853491
"DeAndre Jordan","LAC",14,483,968,183,58,81,0.7160493827160493,0,0,0,0,67,84,32,0,0,0.7241379310344828,0.9545454545454546,0,0,0.6496407407407407,0.7160493827160493,0.5828025477707006,28,3,0.037037037037037035,0,0,15.482695810564662
"Kyrie Irving","CLE",13,464,882,247,54,125,0.432,27,60,0.45,0.45,58,22,86,57,24,0.2037037037037037,0.2037037037037037,0.7037037037037037,0.32432432432432434,0.5036251351351351,0.5108108108108108,0.572429906542056,0,11,0.088,1,0.016666666666666666,22.80701754385965
"Derrick Rose","CHI",12,454,841,244,70,169,0.41420118343195267,23,66,0.3484848484848485,0.359375,35,32,108,42,27,0.22857142857142856,0.23529411764705882,0.6086956521739131,0.28085106382978725,0.4867167381974249,0.44468085106382976,0.48023715415019763,4,23,0.13609467455621302,2,0.030303030303030304,29.633401221995925
"Chris Paul","LAC",12,445,896,265,68,124,0.5483870967741935,27,65,0.4153846153846154,0.4153846153846154,48,2,134,33,48,0.014705882352941176,0.014705882352941176,0.4074074074074074,0.3439153439153439,0.45754042553191493,0.5740740740740741,0.6226415094339622,0,2,0.016129032258064516,1,0.015384615384615385,23.49457058242843
"Andrew Bogut","GSW",19,440,836,89,42,74,0.5675675675675675,0,1,0,0,5,62,22,0,0,0.7380952380952381,0.96875,0,0.013333333333333334,0.5851493333333334,0.56,0.5493827160493827,20,6,0.08108108108108109,0,0,11.28860489882854
"Corey Brewer","HOU",17,428,904,191,60,125,0.48,12,42,0.2857142857142857,0.2926829268292683,35,76,44,33,3,0.6333333333333333,0.6666666666666666,0.9166666666666666,0.25149700598802394,0.5496421212121212,0.46706586826347307,0.4948186528497409,6,13,0.104,0,0,19.885277246653917
"Bradley Beal","WAS",10,418,811,234,58,137,0.4233576642335766,23,63,0.36507936507936506,0.36507936507936506,49,46,70,63,6,0.39655172413793105,0.41818181818181815,0.9130434782608695,0.315,0.5052145,0.4625,0.5154867256637168,6,15,0.10948905109489052,1,0.015873015873015872,26.951871657754012
"Marc Gasol","MEM",11,416,799,217,71,178,0.398876404494382,0,2,0,0,75,94,48,0,0,0.6619718309859155,0.6911764705882353,0,0.011111111111111112,0.4467673184357542,0.39444444444444443,0.48654708520179374,6,10,0.056179775280898875,0,0,26.350606394707828
"Matt Barnes","LAC",14,409,825,107,22,40,0.55,16,60,0.26666666666666666,0.26666666666666666,15,42,2,48,0,0.9545454545454546,1,1,0.6,0.570621,0.46,0.4908256880733945,2,8,0.2,1,0.016666666666666666,13.42642320085929
"Terrence Jones","HOU",17,401,846,173,64,140,0.45714285714285713,3,19,0.15789473684210525,0.15789473684210525,36,96,32,6,3,0.75,0.8,0.6666666666666666,0.11949685534591195,0.4993433962264151,0.4308176100628931,0.47527472527472525,8,17,0.12142857142857143,1,0.05263157894736842,20.732984293193716
"Josh Smith","HOU",17,396,830,229,58,123,0.4715447154471545,27,71,0.38028169014084506,0.38028169014084506,32,60,56,54,27,0.5172413793103449,0.5882352941176471,0.6666666666666666,0.36597938144329895,0.5138015463917526,0.5077319587628866,0.5,14,9,0.07317073170731707,0,0,27.958115183246072
"Joakim Noah","CHI",12,395,718,69,31,76,0.40789473684210525,0,0,0,0,7,40,22,0,0,0.6451612903225806,0.8,0,0,0.5473671052631579,0.40789473684210525,0.4011627906976744,12,9,0.11842105263157894,0,0,12.514757969303423
"Mike Dunleavy","CHI",12,389,727,131,16,32,0.5,27,56,0.48214285714285715,0.4909090909090909,18,22,10,81,0,0.6875,0.7857142857142857,1,0.6363636363636364,0.5424775862068966,0.6420454545454546,0.6827956989247311,4,4,0.125,1,0.017857142857142856,12.781065088757398
"Zach Randolph","MEM",11,382,735,172,70,163,0.4294478527607362,1,5,0.2,0.2,29,82,58,3,0,0.5857142857142857,0.6507936507936508,1,0.02976190476190476,0.44289553571428575,0.4255952380952381,0.4673913043478261,14,16,0.09815950920245399,0,0,24.87980769230769
"Jamal Crawford","LAC",14,379,803,178,49,112,0.4375,18,74,0.24324324324324326,0.2571428571428571,26,28,70,33,21,0.2857142857142857,0.2857142857142857,0.6111111111111112,0.3978494623655914,0.45141055555555554,0.40860215053763443,0.4494949494949495,0,9,0.08035714285714286,3,0.04054054054054054,23.99553571428571
"Shaun Livingston","GSW",21,375,712,105,42,78,0.5384615384615384,0,1,0,0,21,42,42,0,0,0.5,0.5675675675675675,0,0.012658227848101266,0.5204833333333334,0.5316455696202531,0.5769230769230769,10,4,0.05128205128205128,0,0,13.575757575757576
"Courtney Lee","MEM",11,367,717,146,41,70,0.5857142857142857,14,30,0.4666666666666667,0.4666666666666667,22,44,38,36,6,0.5365853658536586,0.5641025641025641,0.8571428571428571,0.3,0.4864255,0.62,0.6559633027522935,4,5,0.07142857142857142,0,0,15.06172839506173
"Otto Porter Jr.","WAS",10,330,648,100,27,56,0.48214285714285715,12,32,0.375,0.375,10,42,12,36,0,0.7777777777777778,0.8076923076923077,1,0.36363636363636365,0.5319267045454545,0.5113636363636364,0.5102040816326531,2,4,0.07142857142857142,0,0,13.793103448275861
"Pau Gasol","CHI",10,317,602,144,56,111,0.5045045045045045,0,4,0,0,32,96,16,0,0,0.8571428571428571,0.9411764705882353,0,0.034782608695652174,0.47536885964912284,0.48695652173913045,0.5373134328358209,10,5,0.04504504504504504,0,0,22.561863173216885
"James Jones","CLE",20,310,599,87,4,11,0.36363636363636365,22,64,0.34375,0.34375,13,8,0,66,0,1,1,1,0.8533333333333334,0.513886,0.49333333333333335,0.54375,0,0,0,1,0.015625,12.283236994219653
"Marcin Gortat","WAS",10,307,606,124,54,86,0.627906976744186,0,0,0,0,16,78,30,0,0,0.7222222222222222,0.8666666666666667,0,0,0.5059976744186047,0.627906976744186,0.6458333333333334,18,4,0.046511627906976744,0,0,16.35036496350365
"Kent Bazemore","ATL",16,303,580,87,24,43,0.5581395348837209,6,28,0.21428571428571427,0.21428571428571427,21,44,4,15,3,0.9166666666666666,0.9166666666666666,0.8333333333333334,0.39436619718309857,0.5426278571428571,0.4647887323943662,0.5058139534883721,0,3,0.06976744186046512,0,0,15.01547987616099
"Jeff Green","MEM",11,298,571,98,32,90,0.35555555555555557,4,18,0.2222222222222222,0.23529411764705882,22,38,26,9,3,0.59375,0.6333333333333333,0.75,0.16666666666666666,0.45562570093457944,0.35185185185185186,0.4083333333333333,4,9,0.1,1,0.05555555555555555,20.858895705521473
"Paul Pierce","WAS",10,298,588,146,15,36,0.4166666666666667,33,63,0.5238095238095238,0.5238095238095238,17,14,16,96,3,0.4666666666666667,0.4666666666666667,0.9696969696969697,0.6363636363636364,0.4977888888888889,0.6515151515151515,0.6697247706422018,0,2,0.05555555555555555,1,0.015873015873015872,17.577548005908422
"Pablo Prigioni","HOU",17,293,605,53,7,16,0.4375,12,41,0.2926829268292683,0.3,3,4,10,24,12,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.7192982456140351,0.5301044642857142,0.43859649122807015,0.4491525423728814,0,0,0,0,0,10.070921985815604
"Dennis Schroder","ATL",16,290,555,144,48,111,0.43243243243243246,8,34,0.23529411764705882,0.23529411764705882,24,24,72,12,12,0.25,0.25,0.5,0.23448275862068965,0.5191744827586207,0.41379310344827586,0.45569620253164556,0,14,0.12612612612612611,1,0.029411764705882353,29.7427652733119
"Tony Allen","MEM",10,279,535,66,27,50,0.54,1,7,0.14285714285714285,0.14285714285714285,9,40,14,3,0,0.7407407407407407,0.8,1,0.12280701754385964,0.5995649122807017,0.5,0.532258064516129,4,2,0.04,0,0,12.335526315789474
"Taj Gibson","CHI",12,276,509,89,34,72,0.4722222222222222,0,0,0,0,21,52,16,0,0,0.7647058823529411,0.896551724137931,0,0,0.551775,0.4722222222222222,0.5174418604651163,10,10,0.1388888888888889,0,0,16.30252100840336
"John Wall","WAS",7,273,544,122,40,93,0.43010752688172044,3,17,0.17647058823529413,0.1875,33,14,66,3,6,0.175,0.18421052631578946,0.3333333333333333,0.15454545454545454,0.4751648148148148,0.40454545454545454,0.4722222222222222,4,5,0.053763440860215055,0,0,24.55858747993579
"Nene","WAS",10,257,493,79,34,76,0.4473684210526316,0,0,0,0,11,42,26,0,0,0.6176470588235294,0.75,0,0,0.5154592105263158,0.4473684210526316,0.45930232558139533,12,7,0.09210526315789473,0,0,17.761989342806395
"Kawhi Leonard","SAS",7,250,490,142,41,83,0.4939759036144578,11,26,0.4230769230769231,0.4230769230769231,27,36,46,30,3,0.43902439024390244,0.4864864864864865,0.9090909090909091,0.23853211009174313,0.4639004587155964,0.5275229357798165,0.5634920634920635,8,5,0.060240963855421686,1,0.038461538461538464,24.91166077738516
"Austin Rivers","LAC",14,250,521,117,33,70,0.4714285714285714,13,35,0.37142857142857144,0.37142857142857144,12,16,50,33,6,0.24242424242424243,0.24242424242424243,0.8461538461538461,0.3333333333333333,0.4903923076923077,0.5,0.5223214285714286,0,8,0.11428571428571428,0,0,21.305841924398624
"Tim Duncan","SAS",7,250,483,125,53,89,0.5955056179775281,0,1,0,0,19,62,44,0,0,0.5849056603773585,0.6458333333333334,0,0.011111111111111112,0.4582061111111111,0.5888888888888889,0.5952380952380952,10,9,0.10112359550561797,0,0,20.326678765880217
"Joe Johnson","BKN",6,249,478,99,22,53,0.41509433962264153,12,41,0.2926829268292683,0.3,19,16,28,33,3,0.36363636363636365,0.38095238095238093,0.9166666666666666,0.43617021276595747,0.4498440860215054,0.425531914893617,0.4714285714285714,2,1,0.018867924528301886,1,0.024390243902439025,20.560747663551403
"Mike Conley","MEM",8,243,465,115,31,63,0.49206349206349204,10,33,0.30303030303030304,0.30303030303030304,23,14,48,15,15,0.22580645161290322,0.22580645161290322,0.5,0.34375,0.49600937500000003,0.4791666666666667,0.5327102803738317,0,5,0.07936507936507936,0,0,22.452830188679247
"Brook Lopez","BKN",6,234,449,119,43,87,0.4942528735632184,0,0,0,0,33,58,28,0,0,0.6744186046511628,0.8055555555555556,0,0,0.48429540229885054,0.4942528735632184,0.5721153846153846,14,6,0.06896551724137931,0,0,21.611001964636543
"Khris Middleton","MIL",6,232,448,95,24,58,0.41379310344827586,11,34,0.3235294117647059,0.3235294117647059,14,28,20,30,3,0.5833333333333334,0.6086956521739131,0.9090909090909091,0.3695652173913043,0.49162228260869567,0.44021739130434784,0.4846938775510204,2,6,0.10344827586206896,0,0,20.970873786407765
"Leandro Barbosa","GSW",21,229,450,104,31,65,0.47692307692307695,8,23,0.34782608695652173,0.34782608695652173,18,38,24,24,0,0.6129032258064516,0.6785714285714286,1,0.26136363636363635,0.5205971590909091,0.48863636363636365,0.5306122448979592,6,5,0.07692307692307693,0,0,21.03250478011472
"Ramon Sessions","WAS",10,218,424,75,16,45,0.35555555555555557,10,25,0.4,0.4,13,10,22,30,0,0.3125,0.3125,1,0.35714285714285715,0.5138610294117647,0.44285714285714284,0.47468354430379744,0,3,0.06666666666666667,0,0,18.200408997955012
"Tony Parker","SAS",7,210,400,76,33,82,0.4024390243902439,0,9,0,0,10,16,50,0,0,0.24242424242424243,0.25,0,0.0989010989010989,0.46871593406593404,0.3626373626373626,0.3838383838383838,2,8,0.0975609756097561,0,0,23.91304347826087
"Nicolas Batum","POR",5,209,400,71,11,31,0.3548387096774194,13,39,0.3333333333333333,0.3333333333333333,10,12,10,39,0,0.5454545454545454,0.6,1,0.5571428571428572,0.5252721428571429,0.4357142857142857,0.46710526315789475,2,4,0.12903225806451613,0,0,19.29824561403509
"LaMarcus Aldridge","POR",5,208,398,109,34,101,0.33663366336633666,3,11,0.2727272727272727,0.2727272727272727,32,20,48,9,0,0.29411764705882354,0.38461538461538464,1,0.09821428571428571,0.4898080357142857,0.34375,0.42578125,16,9,0.0891089108910891,0,0,29.759299781181618
"Bojan Bogdanovic","BKN",6,206,399,62,12,26,0.46153846153846156,11,33,0.3333333333333333,0.3333333333333333,5,18,6,33,0,0.75,0.75,1,0.559322033898305,0.5210313559322034,0.4830508474576271,0.5,0,3,0.11538461538461539,1,0.030303030303030304,15.80135440180587
"Danny Green","SAS",7,204,390,58,9,21,0.42857142857142855,12,40,0.3,0.3,4,16,2,36,0,0.8888888888888888,0.8888888888888888,1,0.6557377049180327,0.5236377049180327,0.4426229508196721,0.4523809523809524,0,4,0.19047619047619047,0,0,15.178571428571427
"Damian Lillard","POR",5,201,390,108,34,65,0.5230769230769231,5,31,0.16129032258064516,0.16129032258064516,25,14,54,6,9,0.20588235294117646,0.20588235294117646,0.4,0.3229166666666667,0.5380234375,0.4322916666666667,0.4863636363636364,0,5,0.07692307692307693,0,0,27.41573033707865
"Giannis Antetokounmpo","MIL",6,201,384,69,26,70,0.37142857142857144,0,1,0,0,17,30,22,0,0,0.5769230769230769,0.6521739130434783,0,0.014084507042253521,0.5247,0.36619718309859156,0.42592592592592593,6,6,0.08571428571428572,0,0,20.767494356659142
"Pero Antic","ATL",15,199,390,63,5,18,0.2777777777777778,11,32,0.34375,0.34375,20,8,2,33,0,0.8,1,1,0.64,0.534791,0.43,0.5080645161290323,2,3,0.16666666666666666,0,0,14.864864864864863
"Boris Diaw","SAS",7,198,379,81,30,53,0.5660377358490566,4,18,0.2222222222222222,0.2222222222222222,9,40,20,12,0,0.6666666666666666,0.7142857142857143,1,0.2535211267605634,0.46999154929577464,0.5070422535211268,0.525974025974026,4,1,0.018867924528301886,0,0,19.589977220956722
"Monta Ellis","DAL",5,197,421,130,41,81,0.5061728395061729,11,30,0.36666666666666664,0.3793103448275862,15,34,48,24,9,0.4146341463414634,0.425,0.7272727272727273,0.2702702702702703,0.4960090909090909,0.5180180180180181,0.5416666666666666,2,3,0.037037037037037035,0,0,27.983539094650205
"Vince Carter","MEM",11,196,370,69,20,39,0.5128205128205128,7,28,0.25,0.25,8,16,24,21,0,0.4,0.5333333333333333,1,0.417910447761194,0.514660447761194,0.4552238805970149,0.5,10,3,0.07692307692307693,0,0,16.851441241685144
"Deron Williams","BKN",6,192,366,71,16,43,0.37209302325581395,11,26,0.4230769230769231,0.4230769230769231,6,10,22,27,6,0.3125,0.3125,0.8181818181818182,0.37681159420289856,0.4972860294117647,0.47101449275362317,0.49295774647887325,0,5,0.11627906976744186,0,0,21.375921375921376
"Michael Carter-Williams","MIL",6,191,374,73,33,73,0.4520547945205479,0,5,0,0,7,12,54,0,0,0.18181818181818182,0.18181818181818182,0,0.0641025641025641,0.4934694805194805,0.4230769230769231,0.4451219512195122,0,7,0.0958904109589041,0,0,22.790697674418606
"Thaddeus Young","BKN",6,191,367,63,29,62,0.46774193548387094,0,4,0,0,5,40,18,0,0,0.6896551724137931,0.7692307692307693,0,0.06060606060606061,0.4800969696969697,0.4393939393939394,0.44366197183098594,6,5,0.08064516129032258,0,0,20.631067961165048
"Festus Ezeli","GSW",20,183,368,70,27,50,0.54,0,0,0,0,16,28,26,0,0,0.5185185185185185,0.7368421052631579,0,0,0.5475639999999999,0.54,0.546875,16,11,0.22,0,0,17.471264367816094
"Dirk Nowitzki","DAL",5,181,376,106,34,67,0.5074626865671642,4,17,0.23529411764705882,0.23529411764705882,26,32,36,12,0,0.47058823529411764,0.5,1,0.20238095238095238,0.44528690476190474,0.47619047619047616,0.546875,4,0,0,0,0,24.537037037037035
"Drew Gooden","WAS",10,178,344,68,11,35,0.3142857142857143,12,26,0.46153846153846156,0.48,10,14,8,36,0,0.6363636363636364,0.7,1,0.4262295081967213,0.48478916666666666,0.47540983606557374,0.5074626865671642,2,2,0.05714285714285714,2,0.07692307692307693,20.30075187969925
"Beno Udrih","MEM",10,175,332,76,27,57,0.47368421052631576,4,16,0.25,0.25,10,16,38,12,0,0.2962962962962963,0.2962962962962963,1,0.2191780821917808,0.48331506849315065,0.4520547945205479,0.4810126582278481,0,5,0.08771929824561403,0,0,21.50259067357513
"Anthony Davis","NOP",4,172,333,126,47,85,0.5529411764705883,0,2,0,0,32,68,26,0,0,0.723404255319149,0.7906976744186046,0,0.022988505747126436,0.476735632183908,0.5402298850574713,0.6,8,4,0.047058823529411764,0,0,31.2
"Mike Scott","ATL",11,172,337,50,17,29,0.5862068965517241,4,26,0.15384615384615385,0.15384615384615385,4,18,16,12,0,0.5294117647058824,0.9,1,0.4727272727272727,0.5237381818181818,0.41818181818181815,0.44642857142857145,14,3,0.10344827586206896,0,0,16.49214659685864
"CJ McCollum","POR",5,166,320,85,21,44,0.4772727272727273,11,23,0.4782608695652174,0.4782608695652174,10,10,32,30,3,0.23809523809523808,0.23809523809523808,0.9090909090909091,0.34328358208955223,0.5149664179104477,0.5597014925373134,0.5821917808219178,0,7,0.1590909090909091,0,0,21.467391304347824
